PublicationTitle,DatabaseIDs,PublicationDate,PublicationDOI,StudyType,SegmentationUse,SourceData,TrainingData,LabelData,Code,Modality,FileFormatsSource,FileFormatsTraining,FileFormatsLabel,DataOrigin,SegmentationType,SegmentationMethod,BiologicalScale,Notes
A novel framework for segmentation of secretory granules in electron micrographs,N/A,2014,10.1016/j.media.2013.12.008,Software,Proof-of-concept,No,N/A,No,No,TEM,N/A,N/A,N/A,this study,Semantic,Automated,Subcellular,
Cryo-FIB-SEM serial milling and block face imaging: Large volume structural analysis of biological tissues preserved close to their native state,N/A,2016,10.1016/j.jsb.2016.09.016,Method,Qualitative visualisation,No,N/A,No,No,Cryo-FIB-SEM,N/A,N/A,N/A,this study,Semantic,Automated,Subcellular,
Convolutional neural networks for automated annotation of cellular cryo-electron tomograms,"EMD-8594, EMD-8589, EMD-8590, EMD-8591, EMD-8592, EMD-8593, EMD-8594",2017,10.1038/nmeth.4405,Software,STA,No,N/A,EMDB,Github,Cryo-ET,N/A,N/A,map,"this study, public data",Instance,Automated,Subcellular,Code integrated into existing software EMAN2
Extracellular space preservation aids the connectomic analysis of neural circuits,N/A,2015,10.7554/eLife.08206,Method,Proof-of-concept,Dryad,No,No,No,SBF SEM,zipped,N/A,N/A,this study,Instance,Automated,Tissue (connectomics),
Domain adaptation for microscopy imaging,N/A,2015,10.1109/TMI.2014.2376872,Software,Proof-of-concept,Some (DIADEM),Some (DIADEM),No,Institutional - working,3D EM,tiff,swc,N/A,this study,Semantic,Automated,Subcellular,Need to find code from reference to another paper. Some data from DIADEM challenge website which is still online
Quantitative imaging of Candida utilis and its organelles by soft X-ray Nano-CT,N/A,2018,10.1111/jmi.12650,Method,Quantitative morphometry,No,N/A,No,No,X-ray microCT,N/A,N/A,N/A,this study,Semantic,Automated,Subcellular,
Crowdsourcing the creation of image segmentation algorithms for connectomics,N/A,2015,10.3389/fnana.2015.00142,Dataset,Benchmarking,Requires separate search (ISBI2012),N/A,Requires separate search (ISBI2012),N/A,ssTEM,zipped,N/A,zipped,this study,Instance,Manual,Tissue (connectomics),Paper describing ISBI 2012
"SynEM, automated synapse detection for connectomics",N/A,2017,10.7554/eLife.26414,Software,Proof-of-concept,Institutional - working,Institutional - working,No,Gitlab,SBF SEM,mat,mat,N/A,"other studies from group, public data",Instance,Automated,Tissue (connectomics),
Contrast-Enhanced Tissue Processing of Fibrillin-Rich Elastic Fibres for 3D Visualization by Volume Scanning Electron Microscopy,N/A,2021,10.3390/mps4030056,Method,Proof-of-concept,No,N/A,No,No,SBF SEM,N/A,N/A,N/A,this study,Semantic,Automated,Tissue,
Automatic segmentation of high pressure frozen and freeze-substituted mouse retina nuclei from FIB-SEM tomograms,N/A,2017,10.1016/j.jsb.2016.10.005,Software,Quantitative morphometry,No,N/A,No,Institutional - defunct,FIB SEM,N/A,N/A,N/A,this study,Semantic,Automated,Subcellular,"Uses the term ""FIB SEM tomograms"""
